group_name,app_name,platform,country,language,create_datediff,orders
base,ms,android,N,n,>90day,2243559
this,ms,android,N,n,>90day,2215712
this,ms,android,D,n,>90day,1438093
base,ms,android,D,n,>90day,1424194
this,ms,android,H,n,>90day,1295052
base,ms,android,H,n,>90day,1292708
this,ms,android,N,i,>90day,1265804
base,ms,android,N,i,>90day,1253549
base,tv,android,N,n,>90day,619826
this,ms,android,E,r,>90day,604585
base,ms,android,E,r,>90day,595785
this,tv,android,N,n,>90day,578009
base,ms,android,R,t,>90day,547728
this,ms,android,O,s,>90day,545693
base,ms,android,O,s,>90day,539703
this,ms,android,R,t,>90day,537502
this,ms,android,N,i,>90day,508490
base,ms,android,N,i,>90day,468006
base,ms,android,D,n,>90day,462621
this,ms,android,D,n,>90day,442799
this,ms,android,U,u,>90day,420624
base,ms,android,U,u,>90day,416431
this,ms,android,X,s,>90day,382583
base,ms,android,X,s,>90day,375244
base,ms,android,N,n,31-90day,360658
this,ms,android,N,n,31-90day,359615
base,tv,android,D,n,>90day,338551
this,tv,android,D,n,>90day,338479
base,ms,android,D,n,31-90day,326856
base,ms,android,E,n,>90day,319659
this,ms,android,E,n,>90day,313668
this,ms,android,D,n,31-90day,307322
this,ms,android,D,n,8-30day,300889
base,ms,android,D,n,>90day,278484
this,ms,android,D,n,>90day,278086
base,ms,android,D,n,0day,275961
base,ms,android,H,n,31-90day,274208
this,ms,android,H,n,31-90day,270273
base,ms,android,D,n,1-7day,266122
this,ms,android,R,r,>90day,245690
this,ms,android,D,n,1-7day,242668
base,ms,android,R,r,>90day,231130
this,ms,android,H,n,8-30day,219151
base,tv,android,E,r,1-7day,218174
this,ms,android,N,n,8-30day,217811
base,ms,android,D,n,8-30day,217115
base,ms,android,N,n,8-30day,215747
this,ms,android,N,i,31-90day,211323
base,ms,android,N,i,31-90day,207123
base,ms,android,H,n,8-30day,203356
base,ms,android,O,s,31-90day,197539
this,ms,android,K,r,>90day,196319
base,ms,android,K,r,>90day,195736
base,ms,android,S,n,>90day,195390
this,ms,android,S,n,>90day,195337
base,ms,android,E,r,31-90day,194421
base,ms,android,H,h,>90day,194377
this,ms,android,R,s,>90day,183759
base,ems,android,H,h,>90day,182180
base,ms,android,R,s,>90day,180809
this,ms,android,H,h,>90day,180458
this,tv,android,E,r,8-30day,177953
this,ms,android,K,n,>90day,177682
base,ms,android,R,t,31-90day,174109
base,tv,android,E,r,0day,171049
base,ms,android,K,n,>90day,168880
this,ms,android,N,l,>90day,164799
this,ms,android,N,i,8-30day,163838
this,ms,android,H,n,1-7day,161538
base,ms,android,H,n,1-7day,158617
base,ms,android,N,l,>90day,157928
base,tv,android,N,i,>90day,148942
this,ms,android,N,n,1-7day,146288
base,ms,android,N,i,8-30day,145110
base,ms,android,N,n,1-7day,142458
this,tv,android,N,i,>90day,142030
this,ms,android,N,e,>90day,140988
this,ms,android,N,i,31-90day,140063
base,ms,android,N,e,>90day,139687
this,ms,android,Y,s,>90day,139488
this,ms,android,T,t,>90day,138158
base,tv,android,H,n,>90day,134923
base,ms,android,T,t,>90day,134909
base,ms,android,N,i,1-7day,134771
base,ms,android,N,i,31-90day,134466
base,ms,android,D,n,31-90day,133604
base,ms,android,Y,s,>90day,133008
base,ms,android,X,s,31-90day,132812
this,ms,android,E,r,31-90day,128659
this,tv,android,H,n,>90day,127080
this,ms,android,O,s,31-90day,126071
this,ems,android,H,h,>90day,125144
base,ms,android,N,n,>90day,124015
base,ms,android,U,u,31-90day,122477
this,ms,android,N,n,>90day,121157
this,ms,android,N,i,1-7day,119970
this,ms,android,R,t,31-90day,119466
base,ms,android,H,n,0day,117746
this,ms,android,N,n,>90day,117469
this,tv,android,E,r,1-7day,116051
base,ms,android,N,n,>90day,113394
this,ms,android,N,a,>90day,111265
base,ms,android,N,a,>90day,110761
base,ms,android,D,n,31-90day,103880
base,ems,android,H,h,31-90day,103583
this,ms,ios,N,n,>90day,103525
base,ms,ios,N,n,>90day,102773
base,ms,android,N,i,0day,101574
base,ms,android,R,r,>90day,101542
base,ms,android,N,i,8-30day,101305
this,ms,android,N,i,8-30day,100985
this,ms,android,R,r,>90day,100864
base,tv,android,E,r,>90day,98846
base,ms,android,N,i,1-7day,97699
base,tv,android,E,r,8-30day,95932
base,ms,android,R,r,0day,95838
base,tv,android,N,n,31-90day,95330
this,ms,android,X,s,31-90day,88689
base,ms,android,R,r,1-7day,88319
base,ms,android,E,r,0day,87656
this,ms,android,W,h,>90day,87487
base,ms,android,R,r,31-90day,87481
this,tv,android,E,r,>90day,87168
