group_name,app_name,platform,region,language,denominator,numerator,conversion_rate
this,ms,ios,S,n,1455744,26912,0.02773015
this,ms,android,S,n,785328,19344,0.036947619
base,ms,ios,S,n,694912,175520,0.25257874
base,ms,android,S,n,440512,156800,0.35594944
this,ms,android,S,s,174736,4896,0.042027194
this,ms,android,S,s,173296,4848,0.041960947
base,ms,android,S,s,127584,55520,0.43516428
base,ms,android,D,n,120661,44807,0.371346168
this,ms,android,D,n,109305,40683,0.372197063
base,ms,android,S,s,87840,36000,0.40983607
this,ms,android,H,n,77378,29288,0.378505518
base,ms,android,H,n,74751,29021,0.388235609
this,ms,ios,S,s,72528,1408,0.029119788
this,ms,android,s,n,53232,1584,0.044634806
this,ms,android,N,n,48728,23479,0.481837958
base,ms,android,N,n,48179,22833,0.473920173
base,ms,android,N,i,46788,13391,0.286205865
base,ms,android,R,r,45864,18262,0.39817722
this,ms,android,R,r,41352,16315,0.394539563
this,ms,android,N,i,41021,12280,0.299358865
base,ms,ios,S,s,39632,10400,0.26241421
this,ms,android,E,r,38234,14353,0.37539886
base,ms,android,s,n,37696,16800,0.44567063
this,ms,android,N,i,36985,18614,0.503285116
base,ms,android,E,r,36790,13746,0.37363414
this,ms,android,S,h,36432,176,0.007246377
base,ms,android,N,i,36416,18444,0.506480668
this,si,android,D,n,34555,7357,0.21290696
this,ms,android,U,u,32129,13397,0.416975318
base,ms,android,G,n,28944,13529,0.467419845
this,tv,android,S,n,28896,656,0.034053156
this,ms,android,G,n,28693,13084,0.455999721
base,ms,android,S,h,28656,2720,0.09491904
base,ms,ios,E,r,24562,6368,0.259262275
base,ms,android,U,u,23386,10042,0.429402206
this,ms,android,R,t,21467,8856,0.412540178
base,ms,android,R,t,21414,8680,0.405342299
this,ms,ios,E,r,18747,5053,0.269536459
this,ms,android,s,r,17280,560,0.048611111
this,ms,android,R,o,16136,6309,0.390989093
base,tv,android,S,n,15872,6560,0.41330645
this,ms,ios,s,n,15408,336,0.03271028
this,ms,android,H,h,15311,4814,0.314414473
base,ms,android,O,s,15247,6347,0.416278612
base,ms,ios,N,i,15046,4194,0.278745181
base,ms,android,X,s,14783,6238,0.421971183
this,ms,ios,N,i,14452,3765,0.260517575
this,ms,android,O,s,14225,5948,0.418137083
base,ms,android,H,h,14062,4487,0.319086901
this,ms,ios,S,i,14016,224,0.023972603
base,ms,ios,U,u,14001,4876,0.348260839
this,ms,ios,S,r,13888,192,0.020725389
this,ms,android,X,s,13854,5892,0.425292334
this,ms,android,s,r,13648,368,0.040421793
base,ms,android,R,o,12848,4845,0.377101494
this,ms,ios,U,u,11986,4064,0.339062239
base,ms,ios,S,r,11248,2720,0.24182077
base,ms,android,R,r,10856,4412,0.406411201
this,ms,android,D,n,10736,5186,0.48304769
this,ms,ios,S,r,10192,160,0.023529412
base,ms,ios,s,n,10032,2880,0.28708134
base,ms,android,T,t,10017,4349,0.434161925
base,ms,android,D,n,9756,4659,0.477552276
base,ms,android,s,r,9712,4800,0.49423394
this,tv,ios,S,n,9616,160,0.024937656
this,ms,android,T,t,9365,3983,0.425306994
base,ms,android,s,r,8704,3520,0.40441176
base,ms,ios,S,i,8320,2080,0.25
base,ms,ios,S,r,8288,1920,0.23166023
base,ms,android,E,n,7867,3495,0.444260836
this,ms,android,E,n,7769,3437,0.442399279
this,ms,ios,S,u,7552,112,0.022222222
this,ms,android,R,r,7519,3082,0.409894933
base,ms,android,R,s,7505,3204,0.42691539
this,ms,android,Y,s,7466,2839,0.380257166
this,ms,android,S,r,7392,160,0.032467532
base,ms,android,D,n,7163,2660,0.371352785
this,ms,android,S,r,6960,160,0.034482759
base,ms,android,Y,s,6870,2569,0.373944687
this,ms,android,D,n,6843,2729,0.398801695
this,ms,android,R,s,6486,2774,0.42769041
this,ms,ios,S,s,6336,144,0.034090909
base,ms,android,S,r,6240,1760,0.28205128
base,tv,ios,S,n,6032,1440,0.23872679
base,ms,android,S,r,5856,2080,0.35519126
base,ms,ios,S,u,5584,1440,0.25787966
this,ems,android,H,h,5473,2094,0.382605518
base,tv,android,N,n,5315,2632,0.495202258
